id,category,name,obtained_from,source_type,additional,local_pos,local_neg,formula,fixedmass,netcharge,inspected_by,inspected_on
1695,2,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononyl ester",https://comptox.epa.gov/dashboard,1,Individual.Acronym:7:2 FTAc;Class.in.source.paper:NA;Discovered.By:Trier et al 2011 (Zonyl TM );Class.Name:Fluorotelomer acrylate;Class.Acronym:x:2 FTAc;Super.Class.1:FTA Derivatives;Super.Class.2:FTS and FTA Derivatives;Historical.Acronym.s.:7:2 FTacr;Historical.name.s.:Fluoroacrylate,0,0,C12H7F15O2,468.0206528,0,,
1696,2,"1-Nonanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluoro-",https://comptox.epa.gov/dashboard,1,NA,0,0,C9H4ClF15O2S,495.9381013,0,,
1697,2,"1-Iodo-1H,1H-perfluorooctane",https://comptox.epa.gov/dashboard,1,NA,0,0,C8H2F15I,509.8961714,0,,
1698,2,"N-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl)prop-2-enamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H6F15NO,453.0209871,0,,
1699,2,"Bis(1H,1H-perfluorooct-1-yl)amine",https://comptox.epa.gov/dashboard,1,NA,0,0,C16H5F30N,780.9942958,0,,
1700,2,"1H,1H-Perfluorooctyl acrylate",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H5F15O2,454.0050027,0,,
1701,2,"Bis(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl) (2E)-but-2-enedioate",https://comptox.epa.gov/dashboard,1,NA,0,0,C20H6F30O4,879.9787053,0,,
1702,2,"Bis(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl) 3,4,5,6-tetrachlorobenzene-1,2-dicarboxylate",https://comptox.epa.gov/dashboard,1,NA,0,0,C24H4Cl4F30O4,1065.838466,0,,
1703,2,"Allyl 1H,1H-perfluorooctyl ether",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H7F15O,440.0257381,0,,
1704,2,AC1MCPYN,https://comptox.epa.gov/dashboard,1,NA,0,0,C48H12F90N3O6P3,2528.850185,0,,
1705,2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl nonafluorobutane-1-sulfonate",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H2F24O3S,681.9341422,0,,
1706,2,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl trifluoromethanesulfonate",https://comptox.epa.gov/dashboard,1,NA,0,0,C9H2F18O3S,531.9437229,0,,
1707,2,Perfluoroheptane,https://comptox.epa.gov/dashboard,1,NA,0,0,C7F16,387.9744515,0,,
1708,2,1-Iodopentadecafluoroheptane,https://comptox.epa.gov/dashboard,1,NA,0,0,C7F15I,495.8805213,0,,
1709,2,"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-2-propenyl-",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H6F15NO2S,488.9879727,0,,
1710,2,"1-Heptanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-N-(phenylmethyl)-",https://comptox.epa.gov/dashboard,1,NA,0,0,C14H8F15NO2S,539.0036228,0,,
1711,2,Perfluoroheptanesulphonyl fluoride,https://comptox.epa.gov/dashboard,1,NA,0,0,C7F16O2S,451.9363518,0,,
1712,2,(Perfluorohexyl)ethylene,https://comptox.epa.gov/dashboard,1,NA,0,0,C8H3F13,346.002717,0,,
1713,2,"(7E)-1,1,1,2,2,3,3,4,4,5,5,6,6,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-Triacontafluorohexadec-7-ene",https://comptox.epa.gov/dashboard,1,NA,0,0,C16H2F30,763.9677467,0,,
1714,2,"1,1,1,2,2,3,3,4,4,5,5,6,6,9,9,10,10,11,11,12,12,13,13,14,14,14-Hexacosafluorotetradec-7-ene",https://comptox.epa.gov/dashboard,1,NA,0,0,C14H2F26,663.9741338,0,,
1715,2,"(3E)-5,5,6,6,7,7,8,8,9,9,10,10,10-Tridecafluorodeca-1,3-diene",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H5F13,372.018367,0,,
1716,2,"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-iodooct-1-ene",https://comptox.epa.gov/dashboard,1,NA,0,0,C8H2F13I,471.8993649,0,,
1717,2,Perfluoroheptanal,https://comptox.epa.gov/dashboard,1,NA,0,0,C7HF13O,347.9819815,0,,
1718,2,"Oxirane, trifluoro(tridecafluorohexyl)-",https://comptox.epa.gov/dashboard,1,NA,0,0,C8F16O,415.9693661,0,,
1719,2,2-Iodo-3-(tridecafluorohexyl)thiophene,https://comptox.epa.gov/dashboard,1,NA,0,0,C10H2F13IS,527.8714359,0,,
1720,2,"1,3-Bis(tridecafluorohexyl)benzene",https://comptox.epa.gov/dashboard,1,NA,0,0,C18H4F26,713.9897838,0,,
1721,2,1-Bromo-3-(tridecafluorohexyl)benzene,https://comptox.epa.gov/dashboard,1,NA,0,0,C12H4BrF13,473.9288791,0,,
1722,2,"1,1'-[1,3-Phenylenebis(oxy)]bis[3-(tridecafluorohexyl)benzene]",https://comptox.epa.gov/dashboard,1,NA,0,0,C30H12F26O2,898.0422133,0,,
1723,2,1-Bromo-4-(tridecafluorohexyl)benzene,https://comptox.epa.gov/dashboard,1,NA,0,0,C12H4BrF13,473.9288791,0,,
1724,2,1-[4-(Tridecafluorohexyl)phenyl]pyridin-4(1H)-one,https://comptox.epa.gov/dashboard,1,NA,0,0,C17H8F13NO,489.0398307,0,,
1725,2,Tris[4-(tridecafluorohexyl)phenyl]phosphine,https://comptox.epa.gov/dashboard,1,NA,0,0,C36H12F39P,1216.005388,0,,
1726,2,1-Iodo-4-(tridecafluorohexyl)benzene,https://comptox.epa.gov/dashboard,1,NA,0,0,C12H4F13I,521.915015,0,,
1727,2,"1,1'-Oxybis[4-(tridecafluorohexyl)benzene]",https://comptox.epa.gov/dashboard,1,NA,0,0,C24H8F26O,806.0159986,0,,
1728,2,"5-Bromo-5'-(tridecafluorohexyl)-2,2'-bithiophene",https://comptox.epa.gov/dashboard,1,NA,0,0,C14H4BrF13S2,561.8730211,0,,
1729,2,"1~5~,4~5~-Bis(tridecafluorohexyl)-1~2~,2~2~:2~5~,3~2~:3~5~,4~2~-quaterthiophene",https://comptox.epa.gov/dashboard,1,NA,0,0,C28H8F26S4,965.909368,0,,
1730,2,"5-(Tridecafluorohexyl)-2,2'-bithiophene",https://comptox.epa.gov/dashboard,1,NA,0,0,C14H5F13S2,483.962509,0,,
1731,2,(Tridecafluorohexyl)benzene,https://comptox.epa.gov/dashboard,1,NA,0,0,C12H5F13,396.018367,0,,
1732,2,N-Phenyl-N'-[2-(tridecafluorohexyl)phenyl]urea,https://comptox.epa.gov/dashboard,1,NA,0,0,C19H11F13N2O,530.0663798,0,,
1733,2,"Thiophene, 2-(tridecafluorohexyl)-",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H3F13S,401.974788,0,,
1734,2,2-Iodo-4-(tridecafluorohexyl)thiophene,https://comptox.epa.gov/dashboard,1,NA,0,0,C10H2F13IS,527.8714359,0,,
1735,2,3-(Tridecafluorohexyl)thiophene,https://comptox.epa.gov/dashboard,1,NA,0,0,C10H3F13S,401.974788,0,,
1736,2,"3,3'-(1,4-Phenylene)bis[5-(tridecafluorohexyl)-1,2,4-oxadiazole]",https://comptox.epa.gov/dashboard,1,NA,0,0,C22H4F26N4O2,849.9919091,0,,
1737,2,"3-Phenyl-5-(tridecafluorohexyl)-1,2,4-oxadiazole",https://comptox.epa.gov/dashboard,1,NA,0,0,C14H5F13N2O,464.0194296,0,,
1738,2,2-(Tridecafluorohexyl)-1H-benzimidazole,https://comptox.epa.gov/dashboard,1,NA,0,0,C13H5F13N2,436.024515,0,,
1739,2,"1-Benzoyl-3,5-bis(perfluorohexyl)pyrazole",https://comptox.epa.gov/dashboard,1,NA,0,0,C22H6F26N2O,808.0064965,0,,
1740,2,3-(Perfluorohexyl)-5-phenyl-1H-pyrazole,https://comptox.epa.gov/dashboard,1,NA,0,0,C15H7F13N2,462.0401651,0,,
1741,2,"1,1,1,2,2,3,3,4,4,5,5,6,6,8,8-Pentadecafluoro-10-iododecane",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H6F15I,537.9274715,0,,
